alpha,type,MSE,MAE,MAE_pct,R2,fit_time,predict_time
0.0,custom,3211.389485101971,43.79944222977247,1.2843714950543808,0.8886930334492675,3.2467228330206126,0.5549294579541311
0.0,scikit-learn,3391.1037985058374,45.02113486090825,1.3490758108635237,0.8824641237628122,0.05348879098892212,0.0007942079100757837
0.1,custom,3215.6293920549883,43.8796949234623,1.2641755501062175,0.8885460780009835,3.222636125050485,0.3074455000460148
0.1,scikit-learn,3353.5665494773525,44.7681683789945,1.3198731748366668,0.8837651672336847,0.09055841702502221,0.0007757500279694796
