name,r2,mse,mae,mape,medianAE,cv_r2,cv_r2_std,cv_mse,cv_mse_std,cv_mae,cv_mae_std,cv_mape,cv_mape_std,cv_medianAE,cv_medianAE_std,best_params,preprocessor,training_time_sec,prediction_time_sec
TreeCustom,0.9951321636707282,71743595.62435766,5170.277940958071,0.0013315965099553661,2090.61588235246,0.9950660740584594,0.00025421023726700996,74521167.08999462,3554151.6793884416,5124.869469245686,99.1214021488263,0.0013213061359629227,2.5157220593838975e-05,1954.1573102143593,89.9417132376722,{},None,46.50529932975769,0.01170206069946289
SklearnTree,0.9956924587078333,63485803.485643506,2805.9404230837345,0.0007236386863360547,1.3969838619232178e-09,0.9954621974326441,0.0002842508372166055,68554378.65994087,4327361.276523954,2999.511382332288,97.58322219731964,0.0007748791490724377,2.575158586458717e-05,9.313225746154785e-10,0.0,{},None,7.07409930229187,0.00251007080078125
RFCustom,0.9953784960820696,68113076.4957288,3093.2851720075523,0.0008034233584529489,9.313225746154785e-10,0.9951393400615297,0.0004312098491355077,73442643.24774021,6664437.50162459,3305.125073110845,106.73114018042314,0.0008612868954276041,2.8525531633306373e-05,9.313225746154785e-10,0.0,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 10}",None,1107.3893768787384,1.0050780773162842
SklearnRF,0.997481286041499,37121543.02426095,2677.7750677920126,0.0006910695323350052,46.64844125835225,0.9973784968574962,0.00014977636219057466,39607930.11811292,2348120.5834979257,2808.2553908191057,82.44816800052337,0.0007262873147203961,2.1561463373693066e-05,79.7876294224523,14.824291179570775,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 10}",None,557.5852930545807,0.016701936721801758
SklearnGB,0.9929318493120244,104172472.21744755,7955.4613230010755,0.0020371221100056033,6191.091896818019,0.9929309503619222,0.00019752228530065829,106774725.8154597,2361686.8369928626,8070.96789073111,99.81105927311123,0.0020677799658796485,2.5135355105266402e-05,6338.4368561397305,172.4182004304558,{},None,281.8265197277069,0.029430150985717773
